TikTok Link,Transcript,Available
https://www.tiktok.com/@ule.beauty/video/7493819825798679830,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7501000294772264214,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7499885193466055958,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7532802852427697430,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7531744411474988310,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7179278386265591046,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7210429100794727686,"vas-y en papier celui-là
shopping bah let's go
alors je prends ça ça ça ça ça tout",yes
https://www.tiktok.com/@ule.beauty/video/7450181837403507990,"Have you heard of ulle?
This new skincare brand has used ingredients that
are so effective you won't believe they are natural,
all of its products have a common ingredient,
pure botanical extract,
a patent-pending ingredient that combines 3
plants with green teach actogens to act on skin aging.
Discover My routine that combines effective and pleasure.
I start with revo plus detergent to
eliminate all impurities and reduce imperfections,
then apply LC bright serum that brightens the
complexion and reduces pigmentation spots for the eyes,
my must have is regard rescue,
an eye that reduces signs of fatigue thanks
to its formula with peptides and pure caffeine,
perfect for 1 fresh,
rested look.
Once absorbed the serum,
I apply fresh cloud cream gel,
which moisturizes intensively and provides
up to 5 days of hydration in one application,
my skin remains bright and hydrated throughout the day.",yes
https://www.tiktok.com/@ule.beauty/video/7219723301956881669,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7177805698519108870,"today
I had the chance to discover what a
vertical firm
you must ask where we are
Welcome to the farm of nature's future
and we will discover exotic cultivated plants
locally in particular the toléus of santella and the toussi
what is cool is that here the water
it isquatre-vingt-dix-neuf percent recycled
no soil so no pesticides
in a cotton ball
ideal to be full of nutrients and fats
for milk skin it is the future of natural care
the formulas of their products are obtained
thanks to a growing method that guarantees purity
and the power of plants
to offer you a more resilient skin",yes
https://www.tiktok.com/@ule.beauty/video/7263121600751471904,"this morning I decided to prepare 1 gazpacho for you
with summer flavors
you will love
here we go I start by cutting 1 tomato
yellow and 1 red tomato
I also add cucumber
of mint
1 little rapeseed oil and lemon juice
and I don't forget my little vegetable oil to see
It hall from ulay
it allows to hydrate
to nourish intensely
your skin
to make it more flexible and affordable
this smoothie helps you cover your vitamin needs
and omega 3 are just ideal
then enjoy",yes
https://www.tiktok.com/@ule.beauty/video/7211197654590672133,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7225656622935199003,"Swollen eyes or pockets,
you may be wondering what the difference is?
Swollen eyes are the result of an accumulation of liquid,
so this is typically.
Uh.
What you can see in the mirror when you wake up.
There are also pockets that appear due to an accumulation of lead.
This time,
it is due to a loosening of the skin and a weakening of the muscles with age.
So there are many solutions to treat swelling.
But then when it comes to dealing,
uh.
Chocolate bags are a little more complicated and prevention is essential,
look at the rest.
Contains pure extractor botany that will really make
the eye contour more resistant to the aging factor.
It is also enriched with pure caffeine and natural nuggets which are
very effective on inflation bags since they have decongestant properties.
And if you want,
uh.
Well,
deflate your eye area even faster.
I recommend that you bet on the cold.
You can keep your care in the refrigerator or you can also use a
guacha of a natural stone that allowed it to bring really a cold effect,
so it will accelerate the penetration of
the oceans while reducing the visible effect.
Deflation?",yes
https://www.tiktok.com/@ule.beauty/video/7231256394136145178,"Do you know that
Paris is the most polluted city in France?
Well, I'm not surprised!
Yes,
it's not a surprise.
And did you know that pollution has 1 impact
on skin aging?
Yes, you know,
more or less,
I try to look for that,
but it's difficult when you live in Paris.
Yes,
this mist protecting the skin from pollution.
Thank you too much,
it's so nice,
thank you!",yes
https://www.tiktok.com/@ule.beauty/video/7511288310602517782,"What is the difference between dehydrated and dry skin?
I explain the difference Dry skin is a type of skin that simply lacks lipid.
It is thin,
sensitive and tight.
It needs fat,
so cream and oil.
If you have dry skin,
I recommend the love river cream which has a very rich
and comfortable texture for your skin.
Dehydrated skin,
on the other hand,
is a temporary state of the skin that simply lacks water.
It doesn't matter what your skin type is,
so it can shine and yet you feel that it is uncomfortable.
I advise you to use the very fresh cloud fresh cream
gel on the skin and in one application.
You have five days of intense hydration.
Now that you know the difference,
all you have to do is adopt a proper routine.",yes
https://www.tiktok.com/@ule.beauty/video/7408597281609387297,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7459735993009196310,"if you use this ingredient you will get this I have plum
hyaluronic acid,
composed of 3 hyaluronic acids,
More than just a vitamin c serum,
As much as 6000 times more antioxidant than vitamin c alone.
This is thanks to bright technology,
composed of vitamin c and astaxan
and finally retinol,
designed with the long-lived retinol tecnologi,
composed of retinol in capsules and 2
natural ingredients,
retinol as a booster and renewing night serum.",yes
https://www.tiktok.com/@ule.beauty/video/7419360712117521696,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7436455707374832929,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7489126790120738070,"Which gremole is best suited to your skin if you have dull or dehydrated skin
and fresh cloud VA cream gel right for you its light and ultra- texture offers
up to 5 days of hydration in one application if you have soft skin and soft
redness you need suicide gels this soft cream moisturizes and strengthens soft
skin if you have mature and dry skin you need love repair.
A rich,
anti-aging cream formulated with sucrose antioids nourishes,
stimulates cell renewal and prevents signs of skin aging.
So which gramole is best for your skin.",yes
https://www.tiktok.com/@ule.beauty/video/7221943521626868997,"Excuse me,
you know what a uh is.
closure ?
Uh, no,
not at all.
Would you like to visit?
Yeah, with pleasure. Yeah
I'm a novice.
The nursery,
the production,
uh. I see a lady
founder of huller who presents the brands,
she talks to me
ha ha ha.
And active complexes,
what is a new brand?
Who is present at oma and clemy's house?
And now I'm in the nursery,
it's so beautiful,
it looks a bit like a jungle,
you see the plants,
it's huge,
it is used for beauty products so it is super pretty
but it's too good.
And then I go to the production room,
it is very high and there we see all the plants.
I didn't see it that way at all.
The leaf tells me something,
it's angry,
it's so good,
it's very pretty.
at least I know what a vertical shape looks like.
Thank you very much,
thank you",yes
https://www.tiktok.com/@ule.beauty/video/7493819825798679830,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7241980520752598298,"What I eat during the day for 1 healthy break as an appetizer,
I eat pirate with strawberries and of course have order.
Then the main course is 1 chicken Supreme with toasted zucchini and
have the order and finally 1 delicious pavova with kiwi and have order.",yes
https://www.tiktok.com/@ule.beauty/video/7401043667915476257,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7176315114927213829,"hello today I'm going into the oiled pop up
I'm going to get a facial
I take you with me
hello welcome to mudet
to start mathilde first cleaned me
and removes make-up of the skin
for the massage to be well effective
she performed a draining and sculpting massage
on my face
then she used led
by choosing the ideal mode for my skin
then she applied the hola plume serum to me
which was very pleasant
then she came to massage my face
with cryospoons that really relaxed me
then she applied a floral mist to me
that smelled very beautiful
I really loved this massage
I came out of there with a skin",yes
https://www.tiktok.com/@ule.beauty/video/7228620444646018331,"I will tell you about the 4 reasons
for which the brand
U cultivates them these cereals
in 1 vertical farm.
These plants
are therefore cultivated indoors,
which allows
to protect them from the weather,
pollution and finally pests.
The plants are also grown in the shelter
and especially without pesticides.
This is also a way to check
or to secure traceability.
And finally there is a limited impact on the environment,
no pollution or toxic discharge
on napractics",yes
https://www.tiktok.com/@ule.beauty/video/7375617813102218529,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7180028768537431302,"serum oh complaint
is composed of a trio of hyaluronic acid
and chestnut extracts
that intensely moisturize the skin
take two drops of the serum
we will work the ride union
by self-massage techniques
come and do a zigzag
on the interbrow area to heat up
then with your index and middle finger
you will repeat this gesture
10 times to smooth the wrinkle",yes
https://www.tiktok.com/@ule.beauty/video/7488748155555646742,No transcript available,no
https://www.tiktok.com/@ule.beauty/video/7194154275214462214,"you have this or it uses this
this serum will improve the texture of your skin
you will see that it will be much clearer
clarified pores will be much less visible
and on top of that
it has effects
moisturizers and infants",yes
https://www.tiktok.com/@ule.beauty/video/7457842829990120726,"Holey beauty is a brand of the shiseido group just landed in Italy is on
sale exclusively from Douglas this brand has a wide range of products suitable
for all skin types for example if you have a dull complexion and skin that
pulls VI recommend the see bright and gel cream fresh cloud if you have
dry skin VI recommend ola plump and amor to repair personally
my favorite piece is lesie bright,
the days are less Sunshine but this serum gives me
a radiant complexion all year round.",yes
https://www.tiktok.com/@ule.beauty/video/7219339089894509829,"Did you know?
The area where the skin ages the fastest
and the most is
right here.
The skin around the eye is
three times thinner than on the rest of the face,
it is therefore more fragile and delicate.
In addition,
it is subject to street evidence
constantly all our emotions
and then the 10,000s a day.
And to this must be added
all the aggressions of our ways of life,
therefore the uv,
pollution,
lack of sleep,
digital fatigue
and the friction and then I go through it.
So if you want to keep a bright and fresh look,
it is necessary to adopt a healthy lifestyle and especially
get enough sleep.
And then,
to make it more affordable,
you can count on look out.
It is a care that contains the pure botany
extra which is a mixture of three plants,
choletus,
feel it and all that actually helps protect,
regenerate and de-stress your eye area",yes
https://www.tiktok.com/@ule.beauty/video/7277481481369357601,"It's simple,
with my skin,
little cream passes the hydration crash test.
I tested the Cloud fresh cream gel,
but did he keep his promises?
In terms of feeling,
I validate 100%,
its gel texture penetrates deeply for 1 hydration
immediate.
And from a clinical standpoint,
it's complicated,
it offers 5 days of hydration in 1 application.
In addition to being 1 hydration bomb,
this cream has 1 light texture that does not stick.
Its aroma of cucumber nerol is very pleasant,
but not while trying,
1 clean formula made in France,
96% ingredients of natural origin,
without silicone and finally 1
formula concentrated around a unique asset complex,
pure Britanie Blaine,
from the vertical farm.
Its role,
help the skin to be stronger and more effective
to maintain the hydration rate
and prevent the signs of skin aging.",yes
https://www.tiktok.com/@ule.beauty/video/7239384319507057947,"Hot water is too aggressive for your face.
cooling of warm or cold water
and avoid washing your face in the shower
unless you turn down the temperature.",yes
https://www.tiktok.com/@ule.beauty/video/7366677499436191008,"Which oiled cream is best suited to your skin?
If you have dehydrated skin and 1 time term,
is Cloud fresh cream
that will be made for you.
Its light and ultra- texture for the face
brings 1 hydration up to 5 days in 1
application.
If you have 1 skin
sensitive and you tend to have redness,
then it is the cream I am
which will be the most suitable for your skin.
It is 1 smooth cream
which moisturizes and strengthens sensitive skin.
If you have 1 mature,
dry skin,
then it's dirty love that you have to adopt.
It is 1 rich and anti-aging cream.
It feeds,
it stimulates the cellular renewal of the skin
and it warns
signs of skin aging.
So which cream would work best for you?",yes
https://www.tiktok.com/@ule.beauty.es/video/7461951344581152033?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@ule.beauty.es/video/7440069790338747681?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@ule.beauty.es/video/7370777322070248736?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@ule.beauty.es/video/7475315546821692674?q=ule.beauty%20sheseido&t=1753954624730,"Of course,
we have products for oily skin.
For example,
we have a serum
as it is called tute clin,
that in addition to our wonderful
botanical mixture,
as it has other ingredients
to make an astringent action,
calming,
antioxidant
and has a super- and pleasant texture",yes
https://www.tiktok.com/@ule.beauty.es/video/7418142500633808161?q=ule.beauty%20sheseido&t=1753954624730,"If you have 1 sensitive skin with a tendency to redness
and you want to deal with that garbage problem,
from ubled we recommend that after cleaning
with our pure refox cleaner gel
use active serum in videcae.
It is 1 serum that will strengthen our function.
skin barrier.
What does this mean?
It will protect this outer layer of the skin.
to reduce this uncertainty,
that.
Also thanks to the fact that it carries almond milk,
1 of those ingredients containing flavonaides,
help soothe irritated skin.
If you want to continue dealing with this Moscow problem,
I recommend that you use yesuchil,
fortifying cream hurts
designed to reduce aggression
and reduce redness",yes
https://www.tiktok.com/@ule.beauty.es/video/7373392760855989536?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@ule.beauty.es/video/7384489805670894881?q=ule.beauty%20sheseido&t=1753954624730,"Recomiendo utilizar
tu teclir era 1 regulador para pieles mixtas y grasas.
Gracias a sus ingredientes
como es la Sal de zinc y el extracto de arroz de Camarga,
vamos a regular
esa producción
de sebo en exceso y también vamos a controlar
esa producción de granos.
Gracias a estos ingredientes
como eh ácidos suaves,
vamos a conseguir igualar el tono de la piel,
vamos a reducir aquellas marquitas
eh producidas por el acné
y vamos a ver 1 piel más suave y más Lisa",yes
https://www.tiktok.com/@claudia.fontanals/video/7221249280256855301?q=ule.beauty%20sheseido&t=1753954624730,"Good morning and happy Wednesday!
Today you are accompanying me to a morning event with shisei.
I had so much breakfast and went to Barcelona.
The event was at Juno house,
a wonderful place for women entrepreneurs.
We started the day with a fit pilates class.
with fit coconut.
The truth is that it has been superintense
but I loved it
and then a little shower.
Before testing rubber products
have been presenting us with the brand
and the truth is that I have been in love.
What I like the most is that they are vegan.
and you know 100 percent of the product traceability.
We have been testing,
here I am with Alex and Carla
and the truth is that we loved them.
We have been prepared a small cocktail
and direct to Show Cup
has gone,
of MasterChef
and has taught us how to use
rubber products also in the kitchen,
is about Nutri cosmetics.
This was my toast
and to end the morning
we have gone shopping with the girls",yes
https://www.tiktok.com/@carmensantaellaar/video/7433128588745903392?q=ule.beauty%20sheseido&t=1753954624730,"There are seasons in which
that the stress of the day to day and the change of season
make our skin duller,
blemished and tired looking.
If it happens to you too,
go running for the rubber night routine
that has changed my skin during the week.
It begins with the renewal in Night,
which reduces the depth of the wrinkle,
improves firmness and evens tone,
and ends with Night Cream recovery,
that transforms the skin
rejuvenating and enlightening it while we sleep.
get 1 25% discount with my code that I leave you here",yes
https://www.tiktok.com/@burdampi/video/7329525503734467873?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@demingai/video/7423845111622290734?q=ule.beauty%20sheseido&t=1753954624730,"it's not a secret that I've been using Shiseido Ultimune Power Infusing Serum
for the past 10 years and people always ask me the secret to my skin 🥟✨
I'm 34 by the way 💅🏼
it has always been this serum
Serum is going to immediately plump and smooth your skin 🤌🏼
give you that boost of hydration 💦
which is going to help reduce fine lines. 🙂‍↔️
One of my favorite part about the serum
is how it enhances your other skincare products
making them work harder for you 🏃🏻‍♀️💨",yes
https://www.tiktok.com/@stephaniepena__/video/7429104048806120735?q=ule.beauty%20sheseido&t=1753954624730,"Just woke up,
and I wanted to show you a product that I've been using on my skin
before I even put on my moisturizer,
after I cleanse my face in the morning and in the evening.
This is Shiseido Ultimatum Power Infusing Concentrate.
This stuff is incredible. First of all,
the packaging is absolutely gorgeous.
It really feels so luxe. This potent
antioxidant face serum delivers three visible changes in three days.
A radiance, resilience,
and smoothness.
It also reduces the signs of aging and improves hydration.
Really leaves my skin feeling amazing.
And I also love that the bottles are reusable,
so it also helps eliminate waste.
Shiseido has easily become a part of my daily routine.
Try it and let me know what you think. I love you.",yes
https://www.tiktok.com/@charmsgia/video/7520844247097036039?q=ule.beauty%20sheseido&t=1753954624730,No transcript available,no
https://www.tiktok.com/@courtney.nuri/video/7203433178701368618?q=ule.beauty%20sheseido&t=1753954624730,"Shiseido Eudermine Activating Essence is a 2-n-1
hydrating essence and softener to help provide nourished glowy skin
it helps to promote my skin's turnover cycle and strengthen the barrier
with fermented kefir extract
this essence contains 2 types of hyaluronic acid
and Yuzu extract to keep my skin deeply hydrated
I deal with dark spots
and this product contains vitamin C to help brighten them over time
the best part is that it has refillable packaging
what more could I ask for in a skincare product",yes
https://www.tiktok.com/@asoothesizzler/video/7529964811539516694?q=ule.beauty%20sheseido&t=1753954624730,"After 30 years of research
In skin compliments
This is version 4 from
Shiseido Mal Serum Rich with Exclusive Ingredient
Just about Shiseido is
Camellia fermented
patented
يعمل هذا على تعزيز خلايا
The one who slowed down the signs of old age seven
Complete the make-up look malty with Shiseido
Foundation
This is amazing!
I love it,
it's very light on the skin
And complete the makeup look Multi Shiseido
Daisky",yes
